epoch,loss,lr
1,0.5002854493531314,0.0001
2,0.43298921259966766,0.0001
3,0.41297708587212995,0.0001
4,0.4018231928348541,0.0001
5,0.3971126242117448,0.0001
6,0.39332026514140045,0.0001
7,0.38821266997944226,0.0001
8,0.38439761237664655,0.0001
9,0.38457895679907367,0.0001
10,0.3782342861999165,0.0001
11,0.37580549446019257,0.0001
12,0.3749282549728047,0.0001
13,0.3748684444210746,0.0001
14,0.3718984641812064,0.0001
15,0.37301535227081994,0.0001
16,0.3680059693076394,0.0001
17,0.36843033812262793,0.0001
18,0.36899779601530597,0.0001
19,0.3641247072003104,0.0001
20,0.3668786639517004,0.0001
21,0.363883221691305,0.0001
22,0.36288128115914087,0.0001
23,0.3605009073560888,0.0001
24,0.36387167464603076,0.0001
25,0.35881220210682263,0.0001
26,0.3576417402787642,0.0001
27,0.3574972559105266,0.0001
28,0.35611624067479913,0.0001
29,0.3547645563429052,0.0001
30,0.358409277417443,0.0001
31,0.3525306555357846,0.0001
32,0.35332911664789374,0.0001
33,0.3514810231598941,0.0001
34,0.3504392911087383,0.0001
35,0.3542854135686701,0.0001
36,0.34839126196774567,0.0001
37,0.35085387934337964,0.0001
38,0.3471361073580655,0.0001
39,0.3495655357837677,0.0001
40,0.34795762463049457,0.0001
41,0.3515939712524414,0.0001
42,0.3516659736633301,0.0001
43,0.3470918021418832,0.0001
44,0.3482543338428844,0.0001
45,0.34374775940721686,0.0001
46,0.34268095276572486,0.0001
47,0.3464787792075764,0.0001
48,0.3408360345797105,0.0001
49,0.34285602786324243,0.0001
50,0.3415588411417874,0.0001
51,0.3413984775543213,0.0001
52,0.3470042808489366,0.0001
53,0.34477557919242163,0.0001
54,0.34420720555565576,0.0001
55,0.3396663963794708,5e-05
56,0.3379850008270957,5e-05
57,0.33978759158741345,5e-05
58,0.3358602523803711,5e-05
59,0.3341083255681125,5e-05
60,0.3356823596087369,5e-05
61,0.33917315981604834,5e-05
62,0.33756059408187866,5e-05
63,0.33659357645294885,5e-05
64,0.33431259068575775,5e-05
65,0.33513962951573456,5e-05
66,0.33499018170616846,2.5e-05
67,0.33529413559220056,2.5e-05
68,0.3322345831177451,2.5e-05
69,0.3348055129701441,2.5e-05
70,0.3319906917485324,2.5e-05
71,0.3320990204811096,2.5e-05
72,0.3299115083434365,2.5e-05
73,0.33180528066375037,2.5e-05
74,0.33088936588980933,2.5e-05
75,0.33119905536825006,2.5e-05
76,0.3318120241165161,2.5e-05
77,0.33227455615997314,2.5e-05
78,0.3304691423069347,2.5e-05
79,0.32994734970006073,1.25e-05
80,0.33045213601805945,1.25e-05
81,0.33005559986287897,1.25e-05
82,0.3298001695762981,1.25e-05
83,0.3286303796551444,1.25e-05
84,0.33136058666489343,1.25e-05
85,0.3288157013329593,1.25e-05
86,0.3291807608170943,1.25e-05
87,0.3277407396923412,1.25e-05
88,0.326077707789161,1.25e-05
89,0.3282807469367981,1.25e-05
90,0.32856679504567926,1.25e-05
91,0.32875647057186475,1.25e-05
92,0.327470291744579,1.25e-05
93,0.32786642150445416,1.25e-05
94,0.32713872465220367,1.25e-05
95,0.32691460035064,6.25e-06
96,0.3268524787642739,6.25e-06
97,0.3275894278829748,6.25e-06
98,0.3266227895563299,6.25e-06
99,0.3288906595923684,6.25e-06
100,0.325749852440574,6.25e-06
101,0.3270351778377186,6.25e-06
102,0.32580880143425683,6.25e-06
103,0.3270101167938926,6.25e-06
104,0.32577267018231476,6.25e-06
105,0.32485887137326325,6.25e-06
106,0.3245448984883048,6.25e-06
107,0.32577061924067413,6.25e-06
108,0.32778212969953363,6.25e-06
109,0.3251535621556369,6.25e-06
110,0.3249257504940033,6.25e-06
111,0.32453144680369983,6.25e-06
112,0.3280390202999115,6.25e-06
113,0.3241329382766377,3.125e-06
114,0.3235580785707994,3.125e-06
115,0.3255923254923387,3.125e-06
116,0.32543828270652075,3.125e-06
117,0.3258496116508137,3.125e-06
118,0.322529443285682,3.125e-06
119,0.32530652392994275,3.125e-06
120,0.3248325559225949,3.125e-06
121,0.3243518444624814,3.125e-06
122,0.32719098979776556,3.125e-06
123,0.32525005394762213,3.125e-06
124,0.32474795254794037,3.125e-06
125,0.3225836916403337,1.5625e-06
126,0.32676307450641284,1.5625e-06
127,0.3265777040611614,1.5625e-06
128,0.32413176785815845,1.5625e-06
129,0.3254049203612588,1.5625e-06
130,0.32396312193437055,1.5625e-06
131,0.3243926628069444,7.8125e-07
132,0.32469912550666113,7.8125e-07
133,0.32570412484082306,7.8125e-07
134,0.32455471428957855,7.8125e-07
135,0.3259989727627147,7.8125e-07
136,0.3254410516132008,7.8125e-07
137,0.32514048977331683,3.90625e-07
138,0.3243918852372603,3.90625e-07
139,0.32486381043087353,3.90625e-07
140,0.3240711282600056,3.90625e-07
141,0.32390918785875494,3.90625e-07
142,0.32516277649185876,3.90625e-07
143,0.32503079826181586,1.953125e-07
144,0.32356584613973444,1.953125e-07
145,0.32718856226314197,1.953125e-07
146,0.3261430805379694,1.953125e-07
147,0.3244895176454024,1.953125e-07
148,0.3231714069843292,1.953125e-07
149,0.3238931054418737,9.765625e-08
150,0.3232942223548889,9.765625e-08
