name_date,vmax
BARBARA_2013-05-29,2.94140625
BUD_2012-05-25,3.953857421875
AGATHA_2022-05-30,3.55859375
AGATHA_2010-05-29,2.18603515625
ALBERTO_2018-05-25,1.546630859375
ALEX_2022-06-03,2.976806640625
COLIN_2016-06-05,1.508544921875
CARLOS_2015-06-16,2.4501953125
CARLOTTA_2018-06-17,1.32470703125
BLANCA_1997-06-10,1.332763671875
DANIELLE_2016-06-20,2.437744140625
BLANCA_2015-06-08,6.556640625
BUD_2018-06-14,3.861572265625
UNNAMED_2009-06-19,2.29052734375
BEATRIZ_2023-06-30,2.21533203125
BEATRIZ_1993-06-19,2.096923828125
BORIS_1996-06-29,4.606689453125
CRISTOBAL_2020-06-03,2.09814453125
BORIS_2014-06-03,2.87158203125
DOLORES_2021-06-19,3.51904296875
BARRY_2013-06-19,1.5224609375
BRET_2005-06-28,1.575439453125
DOLLY_2008-07-23,7.901611328125
GERT_2005-07-25,2.852783203125
CALVIN_1993-07-07,4.723388671875
DORA_2005-07-04,2.10107421875
UNNAMED_2010-07-08,1.814453125
ALEX_2010-07-01,7.065673828125
CHRIS_2024-07-01,2.998291015625
EMILIA_2006-07-26,2.98095703125
EMILY_2005-07-18,3.465087890625
BERYL_2024-07-05,4.78515625
UNNAMED_1999-07-12,2.58544921875
CLAUDETTE_2003-07-11,3.008544921875
ERICK_2013-07-06,2.614990234375
HANNA_2020-07-25,4.105224609375
ALBERTO_1994-07-01,0.642578125
NORA_1997-09-25,6.514892578125
ILEANA_2024-09-14,2.26123046875
HERMINE_2010-09-07,3.21875
NARDA_2019-09-30,0.89599609375
UNNAMED_2015-09-21,1.76025390625
LIDIA_1993-09-13,7.55810546875
GORDON_2000-09-15,2.068603515625
HELENE_2024-09-25,6.058349609375
OLAF_1997-09-28,1.5986328125
GILBERT_1988-09-14,9.307861328125
FERNAND_2019-09-04,3.010498046875
NICHOLAS_2021-09-13,3.734130859375
JIMENA_2009-09-02,6.03955078125
KATIA_2017-09-08,4.0322265625
MANUEL_2013-09-19,3.02392578125
NATE_2011-09-11,4.403564453125
NANA_2020-09-03,0.0
LORENZO_2007-09-28,1.279296875
FAUSTO_1996-09-13,4.414306640625
NORBERT_2014-09-06,4.759521484375
LOWELL_2008-09-11,2.72216796875
ISMAEL_1995-09-14,3.38330078125
NEWTON_2016-09-06,7.708984375
UNNAMED_2018-09-19,2.1572265625
OLAF_2021-09-10,4.6044921875
HENRIETTE_2007-09-04,4.843994140625
NORMA_1987-09-20,0.484375
JULIETTE_2001-09-27,7.874267578125
